iter	Passed	Remaining
172	6912	33044
173	7096	33689
174	7108	33511
175	7113	33303
176	7124	33125
177	7129	32925
178	7141	32756
179	7243	32999
180	7256	32835
181	7267	32664
182	7272	32468
183	7285	32309
184	7289	32114
185	7372	32265
186	7391	32134
187	7403	31976
188	7418	31834
189	7423	31648
190	7501	31773
191	7570	31858
192	7599	31777
193	7613	31632
194	7630	31502
195	7752	31801
196	7765	31652
197	7777	31503
198	7784	31334
199	7828	31312
200	8395	33374
201	8428	33297
202	8441	33143
203	8447	32963
204	8457	32800
205	8639	33301
206	8645	33122
207	8661	32980
208	8675	32834
209	8687	32681
210	8691	32501
211	8821	32789
212	8826	32610
213	8838	32464
214	8842	32287
215	8857	32149
216	8869	32004
217	9057	32489
218	9073	32357
219	9084	32207
220	9095	32059
221	9099	31889
222	9114	31756
223	9265	32098
224	9269	31929
225	9274	31764
226	9279	31600
227	9287	31446
228	9291	31283
229	9409	31499
230	9439	31423
231	9443	31261
232	9457	31131
233	9469	30998
234	9476	30850
235	9619	31141
236	9627	30995
237	9701	31061
238	9706	30905
239	9717	30773
240	9786	30822
241	9804	30709
242	9815	30576
243	9819	30424
244	9830	30294
245	9835	30147
246	9846	30018
247	9851	29873
248	9862	29746
249	9874	29622
250	9879	29480
251	9894	29368
252	9906	29249
253	9995	29357
254	10005	29232
255	10020	29121
256	10038	29021
257	10044	28886
258	10202	29188
259	10218	29083
260	10228	28961
261	10235	28830
262	10347	28997
263	10353	28863
264	10363	28744
265	10369	28612
266	10380	28497
267	10393	28386
268	10484	28492
269	10490	28362
270	10502	28253
271	10508	28124
272	10519	28012
273	10524	27886
274	10634	28036
275	10648	27933
276	10653	27806
277	10668	27707
278	10678	27596
279	10684	27474
280	10780	27583
281	10784	27459
282	10795	27352
283	10800	27228
284	10811	27123
285	10816	27002
286	10909	27103
287	10915	26985
288	10946	26929
289	10958	26830
290	10976	26743
291	11175	27095
292	11179	26976
293	11191	26874
294	11195	26756
295	11207	26656
296	11212	26539
297	11219	26429
298	11376	26672
299	11380	26555
300	11385	26439
301	11390	26326
302	11395	26212
303	11611	26584
304	11625	26491
305	11639	26398
306	11659	26320
307	11675	26232
308	11700	26165
309	11838	26349
310	11853	26261
311	11870	26176
312	11885	26086
313	11900	25998
314	11981	26055
315	11997	25969
316	12014	25885
317	12032	25804
318	12245	26142
319	12259	26050
320	12269	25953
321	12303	25905
322	12493	26186
323	13118	27369
324	13145	27302
325	13151	27191
326	13164	27093
327	13176	26995
328	13194	26911
329	13476	27361
330	13492	27269
331	13505	27174
332	13510	27061
333	13523	26965
334	13716	27228
335	13720	27114
336	13725	27002
337	13732	26895
338	13736	26784
339	13740	26673
340	13924	26908
341	13934	26810
342	13946	26713
343	13950	26603
344	13963	26510
345	13967	26400
346	14197	26716
347	14216	26635
348	14233	26550
349	14248	26461
350	14260	26368
351	14410	26528
352	14423	26435
353	14428	26330
354	14445	26245
355	14463	26164
356	14467	26057
357	14475	25958
358	14479	25853
359	14627	26005
360	14634	25903
361	14639	25801
362	14766	25913
363	14816	25888
364	14829	25798
365	14836	25700
366	14883	25670
367	15000	25761
368	15095	25813
369	15100	25711
370	15158	25700
371	15170	25609
372	15174	25508
373	15313	25630
374	15324	25540
375	15328	25439
376	15340	25349
377	15344	25248
378	15355	25160
379	15514	25312
380	15520	25215
381	15525	25116
382	15531	25020
383	15563	24966
384	15577	24882
385	15601	24816
386	15607	24721
387	15621	24640
388	15634	24556
389	15805	24721
390	15834	24662
391	15838	24566
392	15849	24479
393	15860	24395
394	15865	24299
395	16050	24480
396	16061	24394
397	16066	24300
398	16070	24206
399	16082	24123
400	16086	24030
401	16337	24302
402	16344	24212
403	16355	24128
404	16360	24036
405	16367	23946
406	16377	23861
407	16516	23965
408	16529	23884
409	16533	23792
410	16545	23711
411	16549	23619
412	16561	23539
413	16659	23581
414	16664	23490
415	16674	23407
416	16678	23317
417	16689	23238
418	16701	23158
419	16889	23323
420	16903	23247
421	16918	23173
422	16939	23106
423	17153	23303
424	17159	23215
425	17171	23136
426	17176	23048
427	17186	22968
428	17202	22896
429	17206	22808
430	17256	22781
431	17268	22705
432	17273	22619
433	17283	22540
434	17288	22454
435	17433	22551
436	17448	22479
437	17454	22396
438	17464	22318
439	17469	22233
440	17479	22157
441	17503	22096
442	17613	22145
443	17629	22076
444	17672	22041
445	17824	22140
446	17853	22087
447	17860	22006
448	17890	21954
449	17904	21883
450	17909	21800
451	18025	21854
452	18036	21779
453	18041	21697
454	18046	21616
455	18059	21544
456	18144	21558
457	18158	21488
458	18162	21407
459	18233	21405
460	18238	21323
461	18242	21243
462	18246	21163
463	18358	21207
464	18372	21138
465	18377	21058
466	18387	20986
467	18391	20906
468	18493	20937
469	18507	20869
470	18523	20804
471	18538	20738
472	18668	20799
473	18672	20721
474	18687	20654
475	18699	20584
476	18704	20508
477	18716	20439
478	18801	20450
479	18813	20381
480	18818	20305
481	18830	20237
482	18842	20168
483	18846	20092
484	18978	20152
485	18992	20086
486	18997	20011
487	19009	19944
488	19014	19870
489	19139	19921
490	19148	19850
491	19194	19818
492	19201	19746
493	19207	19673
494	19212	19600
495	19325	19636
496	19341	19574
497	19354	19510
498	19369	19447
499	19474	19474
500	19521	19443
501	19534	19378
502	19538	19305
503	19550	19240
504	19556	19168
505	19659	19193
506	19666	19123
507	19670	19051
508	19688	18991
509	19700	18927
510	19832	18978
511	19838	18908
512	19851	18845
513	19929	18844
514	19945	18784
515	19981	18742
516	19986	18672
517	19996	18606
518	20004	18539
519	20014	18474
520	20019	18405
521	20204	18501
522	20208	18431
523	20223	18370
524	20227	18301
525	20238	18237
526	20243	18168
527	20438	18270
528	20454	18211
529	20469	18151
530	20540	18141
531	20652	18167
532	20663	18104
533	20675	18043
534	20681	17975
535	20692	17913
536	20697	17845
537	20845	17900
538	20866	17847
539	20882	17788
540	20896	17729
541	20911	17670
542	21038	17706
543	21043	17639
544	21071	17592
545	21079	17527
546	21100	17474
547	21111	17412
548	21127	17356
549	21137	17294
550	21142	17228
551	21152	17166
552	21157	17102
553	21333	17174
554	21337	17108
555	21348	17047
556	21352	16982
557	21362	16921
558	21366	16856
559	21466	16866
560	21477	16806
561	21484	16743
562	21494	16683
563	21500	16620
564	21504	16556
565	21639	16593
566	21647	16531
567	21652	16467
568	21656	16404
569	21662	16341
570	21692	16297
571	21696	16234
572	21700	16171
573	21865	16227
574	21881	16173
575	21897	16119
576	21911	16063
577	22059	16105
578	22064	16043
579	22076	15986
580	22081	15924
581	22094	15868
582	22107	15812
583	22242	15843
584	22255	15788
585	22260	15726
586	22271	15669
587	22275	15607
588	22287	15552
589	22518	15648
590	22522	15586
591	22556	15545
592	22568	15489
593	22573	15429
594	22688	15443
595	22701	15388
596	22705	15327
597	22719	15273
598	22751	15231
599	22767	15178
600	22912	15211
601	22919	15152
602	22925	15093
603	22938	15038
604	22944	14980
605	22949	14920
606	22990	14884
607	22994	14825
608	23009	14772
609	23023	14719
610	23176	14755
611	23189	14701
612	23194	14643
613	23207	14589
614	23221	14537
615	23234	14483
616	23387	14517
617	23401	14465
618	23423	14417
619	23467	14383
620	23623	14417
621	23628	14359
622	23639	14305
623	23644	14247
624	23655	14193
625	23659	14135
626	23746	14126
627	23791	14092
628	23795	14035
629	23800	13978
630	23804	13920
631	23809	13863
632	23813	13806
633	23827	13755
634	23842	13704
635	23847	13648
636	23857	13595
637	23862	13539
638	24053	13588
639	24067	13537
640	24071	13481
641	24077	13426
642	24085	13372
643	24094	13319
644	24111	13270
645	24137	13226
646	24156	13179
647	24172	13130
648	24188	13081
649	24526	13206
650	24578	13176
651	24595	13127
652	24611	13078
653	24795	13118
654	24809	13067
655	24824	13017
656	24828	12962
657	24838	12909
658	24843	12855
659	24969	12863
660	24984	12813
661	24988	12758
662	25000	12707
663	25004	12653
664	25016	12602
665	25177	12626
666	25183	12572
667	25195	12522
668	25199	12468
669	25210	12416
670	25216	12363
671	25417	12406
672	25430	12356
673	25447	12308
674	25608	12329
675	25613	12276
676	25623	12225
677	25627	12171
678	25640	12121
679	25645	12068
680	25807	12089
681	25821	12039
682	25828	11987
683	25834	11935
684	25847	11886
685	25851	11833
686	26149	11913
687	26167	11866
688	26183	11818
689	26200	11771
690	26342	11779
691	26347	11726
692	26353	11674
693	26357	11621
694	26361	11568
695	26365	11516
696	26371	11464
697	28573	12362
698	28577	12305
699	28589	12252
700	28610	12203
701	28622	12150
702	28630	12095
703	28880	12142
704	28889	12088
705	29019	12084
706	29030	12030
707	29036	11975
708	29282	12018
709	29287	11962
710	29298	11908
711	29303	11852
712	29311	11798
713	29442	11793
714	29476	11749
715	29511	11705
716	29525	11653
717	29538	11601
718	29552	11549
719	29634	11524
720	29639	11469
721	29653	11417
722	29667	11366
723	29680	11314
724	29686	11260
725	29830	11258
726	29844	11207
727	29853	11154
728	29858	11099
729	29875	11049
730	30058	11061
731	30077	11011
732	30269	11025
733	30274	10971
734	30285	10919
735	30308	10871
736	30312	10817
737	30332	10768
738	30478	10764
739	30505	10718
740	30512	10664
741	30523	10613
742	30572	10575
743	30590	10525
744	30887	10572
745	30938	10534
746	30991	10496
747	31016	10449
748	31134	10433
749	31202	10400
750	31215	10349
751	31227	10298
752	31298	10266
753	31424	10252
754	31478	10214
755	31524	10174
756	31721	10182
757	31726	10129
758	31731	10075
759	31949	10089
760	31965	10038
761	32016	9999
762	32037	9951
763	32051	9900
764	32180	9885
765	32185	9832
766	32197	9780
767	32202	9727
768	32206	9674
769	32369	9668
770	32382	9618
771	32398	9568
772	32432	9524
773	32448	9474
774	32581	9459
775	32645	9423
776	32658	9372
777	32662	9320
778	32675	9270
779	32688	9219
780	32763	9187
781	32768	9134
782	32781	9084
783	32785	9032
784	32798	8982
785	32917	8962
786	32929	8912
787	32934	8860
788	32946	8810
789	32952	8759
790	32957	8708
791	33134	8702
792	33138	8650
793	33153	8601
794	33158	8550
795	33189	8505
796	33355	8495
797	33360	8444
798	33375	8396
799	33387	8346
800	33391	8295
801	33440	8255
802	33559	8233
803	33605	8192
804	33618	8143
805	33623	8092
806	33634	8044
807	33639	7993
808	33786	7976
809	33805	7929
810	33818	7881
811	33833	7833
812	34066	7835
813	34234	7822
814	34240	7772
815	34244	7721
816	34248	7671
817	34253	7621
818	34257	7570
819	34261	7520
820	34265	7470
821	34278	7422
822	34282	7373
823	34297	7325
824	34311	7278
825	34316	7228
826	34328	7181
827	34333	7132
828	34396	7095
829	34424	7050
830	34430	7002
831	34621	6990
832	34626	6941
833	34636	6894
834	34640	6845
835	34652	6797
836	34838	6784
837	34843	6735
838	34869	6691
839	34873	6642
840	34885	6595
841	34898	6548
842	35090	6535
843	35233	6512
844	35246	6465
845	35250	6416
846	35262	6369
847	35266	6321
848	35433	6302
849	35445	6255
850	35450	6206
851	35463	6160
852	35478	6114
853	35676	6099
854	35681	6051
855	35692	6004
856	35744	5964
857	35748	5916
858	35753	5868
859	35832	5833
860	35865	5790
861	35878	5743
862	35883	5696
863	35894	5650
864	35898	5602
865	36015	5572
866	36030	5527
867	36043	5481
868	36056	5435
869	36061	5388
870	36159	5355
871	36164	5308
872	36185	5264
873	36190	5217
874	36200	5171
875	36205	5125
876	36210	5078
877	36270	5039
878	36275	4993
879	36287	4948
880	36292	4902
881	36357	4864
882	36457	4830
883	36461	4784
884	36472	4739
885	36476	4693
886	36489	4648
887	36566	4611
888	36574	4566
889	36599	4523
890	36624	4480
891	36767	4451
892	36772	4406
893	36785	4361
894	36798	4317
895	36805	4272
896	36811	4226
897	36827	4183
898	36841	4138
899	36845	4093
900	36857	4049
901	36868	4005
902	36873	3960
903	36957	3924
904	36968	3880
905	36973	3836
906	36984	3792
907	36988	3747
908	37000	3704
909	37067	3665
910	37072	3621
911	37082	3578
912	37088	3534
913	37099	3490
914	37104	3446
915	37193	3410
916	37222	3369
917	37226	3325
918	37236	3282
919	37246	3238
920	37252	3195
921	37318	3157
922	37401	3120
923	37417	3077
924	37422	3034
925	37432	2991
926	37448	2948
927	37471	2907
928	37477	2864
929	37561	2827
930	37580	2785
931	37591	2742
932	37606	2700
933	37612	2657
934	37662	2618
935	37735	2580
936	37739	2537
937	37750	2495
938	37755	2452
939	37764	2410
940	37865	2374
941	37871	2331
942	37953	2294
943	38002	2254
944	38019	2212
945	38101	2174
946	38116	2133
947	38131	2091
948	38143	2049
949	38277	2014
950	38281	1972
951	38295	1930
952	38300	1888
953	38304	1846
954	38311	1805
955	38315	1763
956	38464	1728
957	38468	1686
958	38479	1645
959	38484	1603
960	38496	1562
961	38507	1521
962	38590	1482
963	38595	1441
964	38608	1400
965	38623	1359
966	38640	1318
967	38753	1281
968	38758	1239
969	38787	1199
970	38796	1158
971	38802	1117
972	38813	1077
973	38883	1037
974	38887	997
975	38899	956
976	38913	916
977	38929	875
978	38933	835
979	38944	794
980	38960	754
981	38978	714
982	39075	675
983	39088	635
984	39093	595
985	39237	557
986	39241	516
987	39246	476
988	39263	436
989	39330	397
990	39341	357
991	39410	317
992	39414	277
993	39420	237
994	39432	198
995	39438	158
996	39566	119
997	39573	79
998	39584	39
999	39597	0
